model,target,ridge__alpha,mean_cv_mse,std_cv_mse,rank_test_score,test_mse
Ridge,Y1,0.01,8.583999522221362,0.3722482455131109,2,9.15376998288024
Ridge,Y1,0.1,8.583291429398876,0.3764763683146574,1,9.158918084644572
Ridge,Y1,1.0,8.594694349388476,0.4203093241960336,3,9.213843234012078
Ridge,Y1,10.0,8.90622548928837,0.7461089744922995,4,9.68779336318348
Ridge,Y1,100.0,11.376332129924897,1.594105678901606,5,12.20501744377877
Ridge,Y2,0.01,10.440481725817893,0.7328099833589969,2,9.893601895432173
Ridge,Y2,0.1,10.440105024370215,0.7335186632755468,1,9.895537328655154
Ridge,Y2,1.0,10.45954573466972,0.7540507325891981,3,9.937175487627904
Ridge,Y2,10.0,10.836990252352349,1.052149297170804,4,10.569110064956405
Ridge,Y2,100.0,13.341224111543156,1.8471628246656009,5,13.76114404482229
